annotation_id,feedback_id,analyst_alias,annotated_barrier_category,annotated_sentiment,annotation_status,annotation_note,annotated_at
MPS-A00100,MPS-F000033,analyst_01,payer_denial,negative,needs_follow_up,Escalate for source review.,2026-05-11T16:00:00+00:00
MPS-A00101,MPS-F000074,analyst_03,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-15T16:00:00+00:00
MPS-A00102,MPS-F000231,analyst_04,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-22T16:00:00+00:00
MPS-A00103,MPS-F003672,analyst_02,scheduling,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-16T16:00:00+00:00
MPS-A00104,MPS-F002523,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-30T16:00:00+00:00
MPS-A00105,MPS-F002650,analyst_04,scheduling,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-14T16:00:00+00:00
MPS-A00106,MPS-F001247,analyst_04,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-01-29T16:00:00+00:00
MPS-A00107,MPS-F003092,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-30T16:00:00+00:00
MPS-A00108,MPS-F002427,analyst_03,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-02-20T16:00:00+00:00
MPS-A00109,MPS-F002896,analyst_02,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-04-11T16:00:00+00:00
MPS-A00110,MPS-F000685,analyst_03,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-17T16:00:00+00:00
MPS-A00111,MPS-F000897,analyst_03,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-09T16:00:00+00:00
MPS-A00112,MPS-F000484,analyst_03,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-02T16:00:00+00:00
MPS-A00113,MPS-F000183,analyst_04,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-13T16:00:00+00:00
MPS-A00114,MPS-F000959,analyst_02,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-06-20T16:00:00+00:00
MPS-A00115,MPS-F003730,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-02-03T16:00:00+00:00
MPS-A00116,MPS-F000232,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-26T16:00:00+00:00
MPS-A00117,MPS-F003089,analyst_03,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-02-01T16:00:00+00:00
MPS-A00118,MPS-F000970,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-01T16:00:00+00:00
MPS-A00119,MPS-F002141,analyst_01,step_therapy,neutral,validated,Barrier and sentiment confirmed from source text.,2026-03-01T16:00:00+00:00
MPS-A00120,MPS-F002231,analyst_01,scheduling,negative,needs_follow_up,Escalate for source review.,2026-06-02T16:00:00+00:00
MPS-A00121,MPS-F000217,analyst_02,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-25T16:00:00+00:00
MPS-A00122,MPS-F003168,analyst_03,payer_denial,neutral,needs_follow_up,Escalate for source review.,2026-03-25T16:00:00+00:00
MPS-A00123,MPS-F000369,analyst_04,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-13T16:00:00+00:00
MPS-A00124,MPS-F001699,analyst_02,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-23T16:00:00+00:00
MPS-A00125,MPS-F003452,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-26T16:00:00+00:00
MPS-A00126,MPS-F000756,analyst_02,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-05T16:00:00+00:00
MPS-A00127,MPS-F000985,analyst_04,prior_authorization,negative,needs_follow_up,Escalate for source review.,2026-06-23T16:00:00+00:00
MPS-A00128,MPS-F001373,analyst_01,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-11T16:00:00+00:00
MPS-A00129,MPS-F003273,analyst_02,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-02-22T16:00:00+00:00
MPS-A00130,MPS-F000337,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-10T16:00:00+00:00
MPS-A00131,MPS-F002045,analyst_04,step_therapy,neutral,validated,Barrier and sentiment confirmed from source text.,2026-05-14T16:00:00+00:00
MPS-A00132,MPS-F000878,analyst_04,prior_authorization,negative,needs_follow_up,Escalate for source review.,2026-06-17T16:00:00+00:00
MPS-A00133,MPS-F001959,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-08T16:00:00+00:00
MPS-A00134,MPS-F000766,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-09T16:00:00+00:00
MPS-A00135,MPS-F000247,analyst_04,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-05-21T16:00:00+00:00
MPS-A00136,MPS-F000334,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-31T16:00:00+00:00
MPS-A00137,MPS-F001241,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-17T16:00:00+00:00
MPS-A00138,MPS-F000707,analyst_04,prior_authorization,neutral,validated,Barrier and sentiment confirmed from source text.,2026-05-22T16:00:00+00:00
MPS-A00139,MPS-F001092,analyst_03,payer_denial,negative,needs_follow_up,Escalate for source review.,2026-05-31T16:00:00+00:00
MPS-A00140,MPS-F000926,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-18T16:00:00+00:00
MPS-A00141,MPS-F002564,analyst_04,out_of_pocket_cost,neutral,validated,Barrier and sentiment confirmed from source text.,2026-02-12T16:00:00+00:00
MPS-A00142,MPS-F001749,analyst_03,patient_concern,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-22T16:00:00+00:00
MPS-A00143,MPS-F002359,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-01-31T16:00:00+00:00
MPS-A00144,MPS-F002694,analyst_04,out_of_pocket_cost,neutral,validated,Barrier and sentiment confirmed from source text.,2026-05-16T16:00:00+00:00
MPS-A00145,MPS-F000397,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-22T16:00:00+00:00
MPS-A00146,MPS-F000702,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-27T16:00:00+00:00
MPS-A00147,MPS-F003148,analyst_03,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-14T16:00:00+00:00
MPS-A00148,MPS-F001034,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-20T16:00:00+00:00
MPS-A00149,MPS-F000340,analyst_03,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-13T16:00:00+00:00
MPS-A00150,MPS-F003444,analyst_01,scheduling,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-01T16:00:00+00:00
MPS-A00151,MPS-F000290,analyst_02,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-20T16:00:00+00:00
MPS-A00152,MPS-F001074,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-17T16:00:00+00:00
MPS-A00153,MPS-F001362,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-08T16:00:00+00:00
MPS-A00154,MPS-F000576,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-03T16:00:00+00:00
MPS-A00155,MPS-F002149,analyst_03,scheduling,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-08T16:00:00+00:00
MPS-A00156,MPS-F000478,analyst_02,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-05-25T16:00:00+00:00
MPS-A00157,MPS-F003325,analyst_04,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-01-22T16:00:00+00:00
MPS-A00158,MPS-F000436,analyst_02,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-12T16:00:00+00:00
MPS-A00159,MPS-F003312,analyst_03,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-01-22T16:00:00+00:00
MPS-A00160,MPS-F002114,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-19T16:00:00+00:00
MPS-A00161,MPS-F000920,analyst_03,scheduling,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-23T16:00:00+00:00
MPS-A00162,MPS-F003433,analyst_04,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-05-24T16:00:00+00:00
MPS-A00163,MPS-F003863,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-26T16:00:00+00:00
MPS-A00164,MPS-F002271,analyst_02,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-10T16:00:00+00:00
MPS-A00165,MPS-F003136,analyst_01,no_barrier,positive,needs_follow_up,Escalate for source review.,2026-06-02T16:00:00+00:00
MPS-A00166,MPS-F000802,analyst_02,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-09T16:00:00+00:00
MPS-A00167,MPS-F001299,analyst_01,patient_concern,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-06T16:00:00+00:00
MPS-A00168,MPS-F000838,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-27T16:00:00+00:00
MPS-A00169,MPS-F000149,analyst_04,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-27T16:00:00+00:00
MPS-A00170,MPS-F000706,analyst_03,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-08T16:00:00+00:00
MPS-A00171,MPS-F000791,analyst_03,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-05T16:00:00+00:00
MPS-A00172,MPS-F003062,analyst_02,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-14T16:00:00+00:00
MPS-A00173,MPS-F001616,analyst_03,no_barrier,neutral,needs_follow_up,Escalate for source review.,2026-05-21T16:00:00+00:00
MPS-A00174,MPS-F001908,analyst_04,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-06T16:00:00+00:00
MPS-A00175,MPS-F000175,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-14T16:00:00+00:00
MPS-A00176,MPS-F003153,analyst_02,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-15T16:00:00+00:00
MPS-A00177,MPS-F000190,analyst_04,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-26T16:00:00+00:00
MPS-A00178,MPS-F003718,analyst_01,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-05-16T16:00:00+00:00
MPS-A00179,MPS-F002951,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-02-23T16:00:00+00:00
MPS-A00180,MPS-F000670,analyst_04,specialty_pharmacy_delay,neutral,validated,Barrier and sentiment confirmed from source text.,2026-05-20T16:00:00+00:00
MPS-A00181,MPS-F000836,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-18T16:00:00+00:00
MPS-A00182,MPS-F003302,analyst_03,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-02-03T16:00:00+00:00
MPS-A00183,MPS-F002059,analyst_03,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-27T16:00:00+00:00
MPS-A00184,MPS-F002703,analyst_02,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-08T16:00:00+00:00
MPS-A00185,MPS-F000206,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-05T16:00:00+00:00
MPS-A00186,MPS-F003869,analyst_02,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-22T16:00:00+00:00
MPS-A00187,MPS-F002688,analyst_04,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-20T16:00:00+00:00
MPS-A00188,MPS-F001226,analyst_02,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-05-25T16:00:00+00:00
MPS-A00189,MPS-F000582,analyst_02,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-10T16:00:00+00:00
MPS-A00190,MPS-F000595,analyst_02,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-05-28T16:00:00+00:00
MPS-A00191,MPS-F002018,analyst_02,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-27T16:00:00+00:00
MPS-A00192,MPS-F000220,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-27T16:00:00+00:00
MPS-A00193,MPS-F002499,analyst_02,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-20T16:00:00+00:00
MPS-A00194,MPS-F003737,analyst_01,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-02-09T16:00:00+00:00
MPS-A00195,MPS-F003931,analyst_04,out_of_pocket_cost,negative,needs_follow_up,Escalate for source review.,2026-03-17T16:00:00+00:00
MPS-A00196,MPS-F000471,analyst_03,scheduling,negative,needs_follow_up,Escalate for source review.,2026-06-27T16:00:00+00:00
MPS-A00197,MPS-F000712,analyst_03,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-13T16:00:00+00:00
MPS-A00198,MPS-F002841,analyst_02,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-10T16:00:00+00:00
MPS-A00199,MPS-F000733,analyst_02,prior_authorization,neutral,needs_follow_up,Escalate for source review.,2026-05-11T16:00:00+00:00
MPS-A00200,MPS-F002848,analyst_02,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-24T16:00:00+00:00
